Asset_Code,Price_Type,Date,Price,Proxy_Level,Proxy_Name
SPX2,NTR,1928-06-25,4.580397424,2,
SPX3,NTR,1928-06-25,4.464306754,2,
SPX2,GTR,1928-06-25,2.188343071,2,
SPX3,GTR,1928-06-25,2.108091528,2,
SPX2,NTR,1928-06-26,4.632732702,2,
SPX3,NTR,1928-06-26,4.515375563,2,
SPX2,GTR,1928-06-26,2.213399841,2,
SPX3,GTR,1928-06-26,2.132270499,2,
SPX2,NTR,1928-06-27,4.677633659,2,
SPX3,NTR,1928-06-27,4.559199743,2,
SPX2,GTR,1928-06-27,2.234905889,2,
SPX3,GTR,1928-06-27,2.153029831,2,
SPX2,NTR,1928-06-28,4.729980181,2,
SPX3,NTR,1928-06-28,4.610282144,2,
SPX2,GTR,1928-06-28,2.259970354,2,
SPX3,GTR,1928-06-28,2.177218023,2,
SPX2,NTR,1928-06-29,4.74760798,2,
SPX3,NTR,1928-06-29,4.627525786,2,
SPX2,GTR,1928-06-29,2.268447523,2,
SPX3,GTR,1928-06-29,2.185427224,2,
SPX2,NTR,1928-07-02,4.708495731,2,
SPX3,NTR,1928-07-02,4.589808003,2,
SPX2,GTR,1928-07-02,2.249879728,2,
SPX3,GTR,1928-07-02,2.167812643,2,
SPX2,NTR,1928-07-03,4.785589652,2,
SPX3,NTR,1928-07-03,4.665092571,2,
SPX2,GTR,1928-07-03,2.286757627,2,
SPX3,GTR,1928-07-03,2.203435864,2,
SPX2,NTR,1928-07-05,4.833112614,2,
SPX3,NTR,1928-07-05,4.711691266,2,
SPX2,GTR,1928-07-05,2.309547009,2,
SPX3,GTR,1928-07-05,2.225578829,2,
SPX2,NTR,1928-07-06,4.810978216,2,
SPX3,NTR,1928-07-06,4.690250467,2,
SPX2,GTR,1928-07-06,2.299010735,2,
SPX3,GTR,1928-07-06,2.215518522,2,
SPX2,NTR,1928-07-09,4.828929219,2,
SPX3,NTR,1928-07-09,4.708161689,2,
SPX2,GTR,1928-07-09,2.307710932,2,
SPX3,GTR,1928-07-09,2.224180198,2,
SPX2,NTR,1928-07-10,4.821679835,2,
SPX3,NTR,1928-07-10,4.701231024,2,
SPX2,GTR,1928-07-10,2.304287322,2,
SPX3,GTR,1928-07-10,2.220973351,2,
SPX2,NTR,1928-07-11,4.702759455,2,
SPX3,NTR,1928-07-11,4.58541857,2,
SPX2,GTR,1928-07-11,2.247495869,2,
SPX3,GTR,1928-07-11,2.166327962,2,
SPX2,NTR,1928-07-12,4.668206026,2,
SPX3,NTR,1928-07-12,4.551861137,2,
SPX2,GTR,1928-07-12,2.231022192,2,
SPX3,GTR,1928-07-12,2.150539656,2,
SPX2,NTR,1928-07-13,4.705621068,2,
SPX3,NTR,1928-07-13,4.588476546,2,
SPX2,GTR,1928-07-13,2.248942996,2,
SPX3,GTR,1928-07-13,2.167903747,2,
SPX2,NTR,1928-07-16,4.641662595,2,
SPX3,NTR,1928-07-16,4.526512067,2,
SPX2,GTR,1928-07-16,2.218494857,2,
SPX3,GTR,1928-07-16,2.138824266,2,
SPX2,NTR,1928-07-17,4.666671767,2,
SPX3,NTR,1928-07-17,4.551032926,2,
SPX2,GTR,1928-07-17,2.230487297,2,
SPX3,GTR,1928-07-17,2.150475311,2,
SPX2,NTR,1928-07-18,4.723952484,2,
SPX3,NTR,1928-07-18,4.607027074,2,
SPX2,GTR,1928-07-18,2.2579047,2,
SPX3,GTR,1928-07-18,2.176998964,2,
SPX2,NTR,1928-07-19,4.714213768,2,
SPX3,NTR,1928-07-19,4.597663873,2,
SPX2,GTR,1928-07-19,2.25328983,2,
